Name	        Accession	RPM	Chrmsm	Start	          End	      Strand Confidence
hsa-mir-4653	MI0017281	3	chr7	101159473	101159555	+	-
hsa-mir-4654	MI0017282	6	chr1	162157107	162157182	+	-
hsa-mir-4655	MI0017283	11	chr7	1844180 	1844253 	-	-
hsa-mir-4656	MI0017284	4	chr7	4788565 	4788639 	-	-
hsa-mir-4657	MI0017285	5	chr7	44881748	44881800	-	-
hsa-mir-4658	MI0017286	8	chr7	100156605	100156669	-	-
hsa-mir-4659a	MI0017287	30	chr8	6745164 	6745244 	+	High
hsa-mir-4660	MI0017288	10	chr8	9048445 	9048518 	+	-
hsa-mir-4661	MI0017289	18	chr8	91205485	91205559	+	High
hsa-mir-4662a	MI0017290	21	chr8	124821985	124822051	+	High
hsa-mir-4659b	MI0017291	14	chr8	6745168 	6745240 	-	High
hsa-mir-4663	MI0017292	1	chr8	123215788	123215863	-	-
hsa-mir-4662b	MI0017293	3	chr8	124821978	124822058	-	-
hsa-mir-4664	MI0017294	18	chr8	143733083	143733153	-	-
hsa-mir-4665	MI0017295	7	chr9	6007826 	6007904 	+	-
hsa-mir-4666a	MI0017296	6	chr1	228462074	228462152	+	-
hsa-mir-4667	MI0017297	25	chr9	35608094	35608159	+	-
hsa-mir-4668	MI0017298	17	chr9	111932100	111932169	+	-
hsa-mir-219b	MI0017299	21	chr9	128392621	128392708	+	High
hsa-mir-4669	MI0017300	2	chr9	134379411	134379472	+	-
hsa-mir-4670	MI0017301	12	chr9	92527984	92528058	-	High
hsa-mir-4671	MI0017302	20	chr1	234306467	234306539	+	-
hsa-mir-4672	MI0017303	6	chr9	127869415	127869495	-	-
hsa-mir-4673	MI0017304	2	chr9	136519568	136519626	-	-
hsa-mir-4674	MI0017305	4	chr9	136546173	136546259	-	-
hsa-mir-4675	MI0017306	2	chr10	20551970	20552046	+	-
hsa-mir-4676	MI0017307	15	chr10	72721029	72721100	+	High
hsa-mir-4677	MI0017308	41	chr1	243346176	243346255	+	High
hsa-mir-4678	MI0017309	1	chr10	87503881	87503954	+	-
hsa-mir-4679-1	MI0017310	3	chr10	89063336	89063410	+	-
hsa-mir-4679-2	MI0017311	4	chr10	89063335	89063411	-	-
hsa-mir-4680	MI0017312	13	chr10	110898090	110898155	+	-
hsa-mir-4681	MI0017313	1	chr10	119377972	119378043	+	-
hsa-mir-4682	MI0017314	1	chr10	119958513	119958592	+	-
hsa-mir-4683	MI0017315	5	chr10	35641172	35641252	-	-
hsa-mir-4684	MI0017316	3	chr1	22719517	22719598	+	High
hsa-mir-4685	MI0017317	9	chr10	98431292	98431360	-	-
hsa-mir-4686	MI0017318	1	chr11	2173063 	2173138 	+	-
hsa-mir-4687	MI0017319	11	chr11	3856062 	3856141 	+	High
hsa-mir-1343	MI0017320	28	chr11	34941837	34941920	+	High
hsa-mir-4688	MI0017321	9	chr11	46376402	46376484	+	-
hsa-mir-4689	MI0017322	52	chr1	5862672 	5862741 	-	-
hsa-mir-4690	MI0017323	8	chr11	65636310	65636369	+	-
hsa-mir-4691	MI0017324	19	chr11	68033897	68033981	+	-
hsa-mir-4692	MI0017325	2	chr11	72783530	72783592	+	-
hsa-mir-4693	MI0017326	2	chr11	103849906	103849980	+	-
hsa-mir-4694	MI0017327	1	chr11	19760004	19760083	-	-
hsa-mir-4695	MI0017328	15	chr1	18883202	18883275	-	-
hsa-mir-4696	MI0017329	1	chr11	74720268	74720337	-	-
hsa-mir-4697	MI0017330	4	chr11	133898504	133898581	-	-
hsa-mir-4698	MI0017331	3	chr12	47187812	47187891	+	-
hsa-mir-4699	MI0017332	10	chr12	81158388	81158461	+	-
hsa-mir-4700	MI0017333	6	chr12	120723193	120723266	+	-
hsa-mir-4701	MI0017334	6	chr12	48771975	48772037	-	-
hsa-mir-3198-2	MI0017335	20	chr12	54231397	54231476	-	-
hsa-mir-4703	MI0017336	3	chr13	51552589	51552667	+	-
hsa-mir-4704	MI0017337	3	chr13	66218250	66218324	+	-
hsa-mir-4705	MI0017338	5	chr13	102045934	102046004	-	-
hsa-mir-4706	MI0017339	14	chr14	65044688	65044769	+	-
hsa-mir-4707	MI0017340	19	chr14	22956950	22957029	-	High
hsa-mir-4708	MI0017341	13	chr14	65335117	65335183	-	-
hsa-mir-4709	MI0017342	138	chr14	74480133	74480204	-	High
hsa-mir-203b	MI0017343	6	chr14	104117418	104117503	-	-
hsa-mir-4710	MI0017344	26	chr14	104677694	104677749	-	-
hsa-mir-4711	MI0017345	3	chr1	59733227	59733296	-	-
hsa-mir-4712	MI0017346	4	chr15	50360329	50360410	+	-
hsa-mir-4713	MI0017347	24	chr15	51242190	51242264	+	-
hsa-mir-4714	MI0017348	19	chr15	98784426	98784502	+	-
hsa-mir-4715	MI0017349	2	chr15	25848747	25848825	-	-
hsa-mir-4716	MI0017350	19	chr15	49169070	49169153	-	-
hsa-mir-3529	MI0017351	4	chr15	88611847	88611924	-	-
hsa-mir-4717	MI0017352	11	chr16	2274620 	2274691 	+	-
hsa-mir-4718	MI0017353	0	chr16	12720321	12720371	+	-
hsa-mir-4719	MI0017354	1	chr16	76868936	76869019	+	-
hsa-mir-4720	MI0017355	1	chr16	81385018	81385093	+	-
hsa-mir-4721	MI0017356	3	chr16	28843919	28844007	-	-
hsa-mir-4722	MI0017357	4	chr16	88716278	88716337	-	-
hsa-mir-4520-2	MI0017358	9	chr17	6655449 	6655502 	+	-
hsa-mir-4723	MI0017359	18	chr17	28360654	28360734	+	-
hsa-mir-451b	MI0017360	0	chr17	28861371	28861438	+	-
hsa-mir-4724	MI0017361	8	chr17	31534883	31534971	+	-
hsa-mir-4725	MI0017362	32	chr17	31575269	31575358	+	-
hsa-mir-4726	MI0017363	8	chr17	38719691	38719748	+	-
hsa-mir-4727	MI0017364	5	chr17	38825838	38825892	+	-
hsa-mir-4728	MI0017365	26	chr17	39726495	39726561	+	High
hsa-mir-4729	MI0017366	2	chr17	59366083	59366154	+	-
hsa-mir-4730	MI0017367	5	chr17	80419418	80419493	+	-
hsa-mir-4731	MI0017368	35	chr17	15251627	15251696	-	-
hsa-mir-4732	MI0017369	21	chr17	28861655	28861730	-	-
hsa-mir-4733	MI0017370	6	chr17	31094350	31094425	-	-
hsa-mir-4734	MI0017371	10	chr17	38702262	38702331	-	-
hsa-mir-4735	MI0017372	9	chr1	196582413	196582481	-	-
hsa-mir-4736	MI0017373	3	chr17	58335976	58336022	-	-
hsa-mir-4737	MI0017374	5	chr17	60043025	60043105	-	-
hsa-mir-3064	MI0017375	31	chr17	64500774	64500839	-	High
hsa-mir-4738	MI0017376	90	chr17	75784521	75784607	-	-
hsa-mir-4739	MI0017377	6	chr17	79707176	79707249	-	-
hsa-mir-4740	MI0017378	5	chr17	81400716	81400778	-	-
hsa-mir-4741	MI0017379	35	chr18	22933349	22933438	+	-
hsa-mir-4742	MI0017380	19	chr1	224398227	224398311	-	-
hsa-mir-4743	MI0017381	7	chr18	48670600	48670668	+	-
hsa-mir-4744	MI0017382	3	chr18	49049687	49049768	-	-
hsa-mir-122b	MI0017383	411	chr18	58451080	58451152	-	High
hsa-mir-4745	MI0017384	21	chr19	804940  	805001  	+	-
hsa-mir-4746	MI0017385	14	chr19	4445978  	4446048 	+	High
hsa-mir-4747	MI0017386	7	chr19	4932687 	4932740 	+	-
hsa-mir-4748	MI0017387	12	chr19	10780254	10780335	+	-
hsa-mir-4749	MI0017388	15	chr19	49854591	49854651	+	High
hsa-mir-4750	MI0017389	17	chr19	49888175	49888230	+	-
hsa-mir-4751	MI0017390	1	chr19	49933064	49933137	+	-
hsa-mir-4752	MI0017391	0	chr19	54282109	54282180	+	-
hsa-mir-4753	MI0017392	13	chr1	235190034	235190116	-	-
hsa-mir-371b	MI0017393	5	chr19	53787677	53787742	-	-
hsa-mir-4754	MI0017394	5	chr19	58386770	58386858	-	-
hsa-mir-4755	MI0017395	28	chr20	34049119	34049190	+	High
hsa-mir-499b	MI0017396	13	chr20	34990400	34990472	-	-
hsa-mir-4756	MI0017397	3	chr20	54068408	54068485	-	-
hsa-mir-4757	MI0017398	10	chr2	19348429	19348505	+	-
hsa-mir-4758	MI0017399	15	chr20	62332487	62332557	-	-
hsa-mir-4759	MI0017400	2	chr21	26953961	26954043	+	-
hsa-mir-4760	MI0017401	1	chr21	40212352	40212431	-	-
hsa-mir-4761	MI0017402	18	chr22	19963753	19963834	+	High
hsa-mir-4762	MI0017403	65	chr22	45760524	45760598	+	-
hsa-mir-4763	MI0017404	15	chr22	46113566	46113657	+	-
hsa-mir-4764	MI0017405	5	chr22	33436582	33436669	-	-
hsa-mir-4765	MI0017406	5	chr2	32635255	32635331	+	-
hsa-mir-4766	MI0017407	60	chr22	40813883	40813958	-	-
hsa-mir-4767	MI0017408	6	chrX	7147860 	7147937 	+	-
hsa-mir-4768	MI0017409	5	chrX	17425881	17425954	+	-
hsa-mir-4769	MI0017410	5	chrX	47587429	47587505	+	-
hsa-mir-4770	MI0017411	12	chrX	6383906 	6383963 	-	-
hsa-mir-4771-1	MI0017412	3	chr2	87194786	87194859	+	-
hsa-mir-4771-2	MI0017413	3	chr2	111771061	111771134	-	-
hsa-mir-4772	MI0017414	31	chr2	102432289	102432366	+	High
hsa-mir-4773-1	MI0017415	3	chr2	151368334	151368411	+	-
hsa-mir-4773-2	MI0017416	3	chr2	151368334	151368411	-	-
hsa-mir-4774	MI0017417	7	chr2	168582943	168583018	+	-
hsa-mir-4775	MI0017418	12	chr2	207754807	207754881	+	-
hsa-mir-4776-1	MI0017419	30	chr2	212926257	212926336	+	-
hsa-mir-4776-2	MI0017420	30	chr2	212926257	212926336	-	-
hsa-mir-4777	MI0017421	3	chr2	231362708	231362793	+	-
hsa-mir-4778	MI0017422	53	chr2	66358249	66358328	-	High
hsa-mir-4779	MI0017423	14	chr2	86193026	86193108	-	-
hsa-mir-4780	MI0017424	3	chr2	88082519	88082599	-	-
hsa-mir-4436b-1	MI0017425	13	chr2	110086433	110086523	-	-
hsa-mir-4781	MI0017426	17	chr1	54054079	54054154	+	-
hsa-mir-4782	MI0017427	4	chr2	113721290	113721368	-	-
hsa-mir-4783	MI0017428	15	chr2	127423537	127423618	-	-
hsa-mir-4784	MI0017429	8	chr2	131491160	131491236	-	-
hsa-mir-4785	MI0017430	19	chr2	160407810	160407882	-	-
hsa-mir-1245b	MI0017431	12	chr2	188978093	188978161	-	-
hsa-mir-2467	MI0017432	27	chr2	239351724	239351804	-	High
hsa-mir-4786	MI0017433	25	chr2	239943015	239943094	-	High
hsa-mir-4787	MI0017434	32	chr3	50675080	50675163	+	-
hsa-mir-4788	MI0017435	4	chr3	134437827	134437906	+	-
hsa-mir-4789	MI0017436	10	chr3	175369540	175369621	+	-
hsa-mir-4790	MI0017437	5	chr3	5250177 	5250255 	-	-
hsa-mir-4791	MI0017438	19	chr3	19314848	19314931	-	-
hsa-mir-4793	MI0017440	8	chr3	48644194	48644280	-	High
hsa-mir-4794	MI0017441	4	chr1	64579847	64579923	+	-
hsa-mir-4795	MI0017442	11	chr3	87226189	87226277	-	-
hsa-mir-4796	MI0017443	8	chr3	114743445	114743525	-	High
hsa-mir-4797	MI0017444	24	chr3	197293878	197293948	-	-
hsa-mir-4798	MI0017445	3	chr4	7310450 	7310524 	+	-
hsa-mir-4799	MI0017446	11	chr4	147782595	147782668	+	-
hsa-mir-3688-2	MI0017447	28	chr4	159128805	159128891	+	High
hsa-mir-4800	MI0017448	242	chr4	2250077 	2250156 	-	-
hsa-mir-4801	MI0017449	0	chr4	37241910	37241991	-	-
hsa-mir-4802	MI0017450	13	chr4	40502040	40502119	-	High
hsa-mir-4803	MI0017451	4	chr5	72169467	72169540	+	-
hsa-mir-4804	MI0017452	8	chr5	72878591	72878663	+	-
hsa-mir-4999	MI0017865	19	chr19	8389290 	8389380 	-	-
hsa-mir-5000	MI0017866	1087	chr2	75090812	75090914	+	High
hsa-mir-5001	MI0017867	52	chr2	232550474	232550573	-	High
hsa-mir-5002	MI0017868	4	chr3	124132929	124133025	+	-
hsa-mir-5003	MI0017869	3	chr5	172662165	172662263	+	-
hsa-mir-5004	MI0017870	5	chr6	33438331	33438437	+	High
hsa-mir-548ao	MI0017871	7	chr8	41271048	41271143	-	-
hsa-mir-5006	MI0017873	7	chr13	41568286	41568395	-	-
hsa-mir-5007	MI0017874	2	chr13	55174454	55174548	+	-
hsa-mir-548ap	MI0017875	107	chr15	85825635	85825730	+	High
hsa-mir-5008	MI0017876	28	chr1	227941590	227941683	-	-
hsa-mir-5009	MI0017877	14	chr15	89883931	89884030	-	-
hsa-mir-5010	MI0017878	64	chr17	42514188	42514307	+	High
hsa-mir-5011	MI0017879	0	chr18	67081584	67081686	+	-
hsa-mir-5047	MI0017932	0	chr17	64501214	64501313	-	-
hsa-mir-5087	MI0017976	2	chr1	148334479	148334554	-	-
hsa-mir-5088	MI0017977	11	chr19	49682117	49682195	+	-
hsa-mir-5089	MI0017978	6	chr17	46973017	46973100	+	-
hsa-mir-5090	MI0017979	37	chr7	102465742	102465826	+	-
hsa-mir-5091	MI0017980	194	chr4	13627865	13627957	+	-
hsa-mir-5092	MI0017981	2	chr3	125151465	125151552	-	-
hsa-mir-5093	MI0017982	0	chr16	85306226	85306325	-	-
hsa-mir-5094	MI0017983	32	chr15	89850637	89850721	-	-
hsa-mir-5186	MI0018165	1	chr3	151565876	151565995	-	-
hsa-mir-5187	MI0018166	27	chr1	161227186	161227261	+	High
hsa-mir-5188	MI0018167	18	chr12	124915547	124915659	+	-
hsa-mir-5189	MI0018168	11	chr16	88468918	88469031	+	-
hsa-mir-5190	MI0018169	2	chr18	13459947	13460026	+	-
hsa-mir-5191	MI0018170	5	chr1	201719508	201719627	+	-
hsa-mir-5192	MI0018171	6	chr2	62205826	62205917	+	-
hsa-mir-5193	MI0018172	11	chr3	49806137	49806245	-	-
hsa-mir-5194	MI0018173	6	chr8	130008334	130008453	-	-
hsa-mir-5195	MI0018174	1	chr14	106850885	106850999	-	-
hsa-mir-5196	MI0018175	18	chr19	35345513	35345627	+	-
hsa-mir-5197	MI0018176	0	chr5	143679860	143679971	+	-
hsa-mir-4436b-2	MI0019110	13	chr2	110284853	110284943	+	-
hsa-mir-4444-2	MI0019111	117	chr3	75214476	75214549	+	-
hsa-mir-3670-2	MI0019112	1	chr16	16306370	16306434	+	-
hsa-mir-3680-2	MI0019113	27	chr16	29599179	29599265	-	-
hsa-mir-4524b	MI0019114	0	chr17	69099542	69099656	+	-
hsa-mir-5571	MI0019115	102	chr22	22886267	22886379	+	-
hsa-mir-5100	MI0019116	11	chr10	42997563	42997681	+	-
hsa-mir-5572	MI0019117	4	chr15	80581103	80581239	+	-
hsa-mir-548aq	MI0019130	64	chr3	185767847	185767904	-	High
hsa-mir-548ar	MI0019131	43	chr13	114244505	114244561	+	High
hsa-mir-548as	MI0019132	22	chr13	92490163	92490220	+	High
hsa-mir-5579	MI0019133	31	chr11	79422169	79422226	-	-
hsa-mir-664b	MI0019134	82	chrX	154768596	154768656	+	High
hsa-mir-5580	MI0019135	9	chr14	53948427	53948484	-	-
hsa-mir-5581	MI0019136	34	chr1	37500935	37500994	-	-
hsa-mir-548at	MI0019137	25	chr17	42494773	42494830	+	High
hsa-mir-5582	MI0019138	31	chr11	46753125	46753192	-	-
hsa-mir-5583-1	MI0019139	21	chr18	39676721	39676779	+	High
hsa-mir-5583-2	MI0019140	21	chr18	39676719	39676777	-	High
hsa-mir-5584	MI0019141	14	chr1	44545493	44545552	+	-
hsa-mir-5585	MI0019142	578	chr1	32086949	32087007	+	-
hsa-mir-5586	MI0019143	15	chr14	59646962	59647020	-	High
hsa-mir-5587	MI0019144	9	chr16	535316  	535368  	+	-
hsa-mir-548au	MI0019145	42	chr9	93594841	93594894	+	-
hsa-mir-1295b	MI0019146	4	chr1	171101739	171101798	+	-
hsa-mir-5588	MI0019147	34	chr3	185253210	185253272	-	-
hsa-mir-5589	MI0019148	0	chr19	10038354	10038413	+	-
hsa-mir-4536-2	MI0019149	1748	chrX	55451495	55451582	+	Low
hsa-mir-5590	MI0019150	0	chr2	134857820	134857873	+	-
hsa-mir-5591	MI0019151	1	chr4	39411910	39411974	+	-
hsa-mir-548av	MI0019152	22	chr18	72853321	72853382	-	High
hsa-mir-5680	MI0019280	7	chr8	102125432	102125515	+	-
hsa-mir-5681a	MI0019281	4	chr8	74548543	74548617	+	-
hsa-mir-5682	MI0019282	41	chr3	121049640	121049715	+	High
hsa-mir-548aw	MI0019283	68	chr9	132945707	132945771	+	Low
hsa-mir-5683	MI0019284	22	chr6	6169334	         6169409	+	-
hsa-mir-5684	MI0019285	49	chr19	12787128	12787192	+	-
hsa-mir-548ax	MI0019286	36	chrX	11318614	11318686	-	High
hsa-mir-5685	MI0019287	0	chr6	53276993	53277071	+	-
hsa-mir-5692c-1	MI0019288	1	chr5	135802985	135803075	-	-
hsa-mir-5692c-2	MI0019289	2	chr7	97964405	97964481	-	-
hsa-mir-5687	MI0019291	4	chr5	55508850	55508926	-	-
hsa-mir-5688	MI0019292	3	chr3	85385710	85385792	+	-
hsa-mir-5681b	MI0019293	2	chr8	74548550	74548609	-	-
hsa-mir-5689	MI0019294	5	chr6	10439717	10439794	+	-
hsa-mir-5690	MI0019295	18	chr6	35664717	35664789	-	-
hsa-mir-5691	MI0019296	0	chr11	9090312 	9090379 	-	-
hsa-mir-5692a-1	MI0019297	0	chr7	97963658	97963726	+	-
hsa-mir-5692a-2	MI0019298	0	chr8	12719132	12719190	+	-
hsa-mir-4666b	MI0019299	0	chrX	29574278	29574358	+	-
hsa-mir-5693	MI0019300	3	chr13	51348567	51348639	-	-
hsa-mir-5694	MI0019301	62	chr14	67441855	67441930	-	-
hsa-mir-5695	MI0019302	26	chr19	12920320	12920404	+	-
hsa-mir-5696	MI0019303	20	chr2	101309450	101309534	+	-
hsa-mir-5697	MI0019304	11	chr1	9967381 	9967458 	+	-
hsa-mir-5698	MI0019305	11	chr1	154104521	154104592	-	-
hsa-mir-5699	MI0019306	173	chr10	641689  	641778  	-	-
hsa-mir-5700	MI0019307	0	chr12	94561789	94561859	+	-
hsa-mir-5701-1	MI0019308	5	chr15	20940252	20940333	+	-
hsa-mir-5702	MI0019309	1	chr2	226658710	226658793	-	-
hsa-mir-5703	MI0019310	42	chr2	227472132	227472187	+	-
hsa-mir-5692b	MI0019311	1	chr21	42950928	42951014	-	-
hsa-mir-5704	MI0019312	0	chr3	131985855	131985931	-	-
hsa-mir-5705	MI0019313	0	chr4	87300495	87300583	-	-
hsa-mir-5706	MI0019314	12	chr5	119154637	119154716	+	-
hsa-mir-5707	MI0019315	0	chr7	158591616	158591696	+	-
hsa-mir-5708	MI0019316	372	chr8	80241389	80241473	+	-
hsa-mir-5739	MI0019412	0	chr22	28459869	28459948	+	-
hsa-mir-5701-2	MI0019593	5	chr15	21513959	21514040	+	-
hsa-mir-5787	MI0019797	0	chr3	50227436	50227490	+	-
hsa-mir-1199	MI0020340	0	chr19	14073361	14073479	+	-
hsa-mir-6068	MI0020345	0	chr1	63326925	63326984	-	-
hsa-mir-6069	MI0020346	0	chr22	35336721	35336799	-	-
hsa-mir-6070	MI0020347	0	chr21	43609887	43609989	-	-
hsa-mir-6071	MI0020348	0	chr2	85783600	85783677	-	-
hsa-mir-6072	MI0020349	0	chr10	2076019 	2076089 	-	-
hsa-mir-6073	MI0020350	4	chr11	15969533	15969621	-	-
hsa-mir-6074	MI0020351	0	chr12	66023620	66023726	-	-
hsa-mir-6075	MI0020352	0	chr5	1510762 	1510856 	-	-
hsa-mir-6076	MI0020353	0	chr14	49966399	49966511	+	-
hsa-mir-6077	MI0020354	1	chr1	148388282	148388363	+	-
hsa-mir-6078	MI0020355	0	chr10	3991160 	3991259 	+	-
hsa-mir-6079	MI0020356	0	chr1	43838622	43838683	+	-
hsa-mir-6080	MI0020357	0	chr17	64780759	64780824	+	-
hsa-mir-6081	MI0020358	0	chr9	95065350	95065446	+	-
hsa-mir-6082	MI0020359	0	chr4	171186184	171186292	+	-
hsa-mir-6083	MI0020360	0	chr3	124374332	124374437	+	-
hsa-mir-6084	MI0020361	1	chr1	20633679	20633788	+	-
hsa-mir-6085	MI0020362	0	chr15	62343029	62343138	+	-
hsa-mir-6086	MI0020363	0	chrX	13590292	13590346	+	-
hsa-mir-6088	MI0020365	2	chr19	45436654	45436704	+	-
hsa-mir-6089-1	MI0020366	2	chrX	2609191 	2609254 	+	-
hsa-mir-6090	MI0020367	1	chr11	128522390	128522449	+	-
hsa-mir-6124	MI0021258	4	chr11	12163683	12163767	+	-
hsa-mir-6125	MI0021259	279	chr12	62260359	62260454	+	-
hsa-mir-6126	MI0021260	0	chr16	3485381 	3485469 	-	-
hsa-mir-6127	MI0021271	1511	chr1	22633258	22633366	-	-
hsa-mir-6128	MI0021272	2	chr11	56743873	56743981	+	-
hsa-mir-378j	MI0021273	1	chr17	37614931	37615039	-	-
hsa-mir-6129	MI0021274	1	chr17	49288346	49288454	-	-
hsa-mir-6130	MI0021275	8	chr21	23079284	23079392	+	-
hsa-mir-6131	MI0021276	1	chr5	10478037	10478145	+	-
hsa-mir-6132	MI0021277	14	chr7	117020211	117020319	+	-
hsa-mir-6133	MI0021278	2	chr7	133290881	133290988	+	-
hsa-mir-6134	MI0021279	0	chrX	28495555	28495663	-	-
hsa-mir-6165	MI0021472	0	chr17	49510817	49510900	+	-
hsa-mir-6499	MI0022209	94	chr5	151522087	151522148	-	-
hsa-mir-548ay	MI0022210	183	chr3	32506283	32506389	-	High
hsa-mir-6500	MI0022211	1336	chr1	51060018	51060103	+	-
hsa-mir-548az	MI0022212	53	chr8	119325171	119325265	+	High
hsa-mir-6501	MI0022213	66	chr21	33550662	33550728	+	-
hsa-mir-6502	MI0022214	6	chr12	66251082	66251157	+	-
hsa-mir-6503	MI0022215	28	chr11	60209071	60209156	-	-
hsa-mir-6504	MI0022216	17	chr16	81611348	81611408	+	-
hsa-mir-6505	MI0022217	166	chr12	48132797	48132867	+	High
hsa-mir-6506	MI0022218	2	chr16	15611030	15611095	-	-
hsa-mir-6507	MI0022219	62	chr10	98924499	98924568	-	Low
hsa-mir-6508	MI0022220	12	chr21	39447010	39447069	+	-
hsa-mir-6509	MI0022221	14	chr7	135206994	135207078	-	High
hsa-mir-6510	MI0022222	42	chr17	41517164	41517217	-	-
hsa-mir-6511a-1	MI0022223	68	chr16	14925937	14926003	+	High
hsa-mir-6512	MI0022224	71	chr2	177313806	177313882	-	-
hsa-mir-6513	MI0022225	15	chr2	218280125	218280188	-	-
hsa-mir-6514	MI0022226	18	chr11	62792702	62792771	-	High
hsa-mir-6515	MI0022227	154	chr19	12940484	12940540	+	-
hsa-mir-6715a	MI0022548	1	chr10	112299612	112299690	+	-
hsa-mir-6715b	MI0022549	0	chr10	112299612	112299688	-	-
hsa-mir-6716	MI0022550	15	chr11	118644000	118644079	+	-
hsa-mir-6717	MI0022551	10	chr14	21023314	21023386	-	-
hsa-mir-6511b-1	MI0022552	65	chr16	2106669 	2106753 	-	-
hsa-mir-6718	MI0022553	4	chr18	3885353 	3885432 	+	-
hsa-mir-6719	MI0022554	0	chr19	39829716	39829802	-	-
hsa-mir-6720	MI0022555	37	chr6	1390314 	1390411 	-	High
hsa-mir-6721	MI0022556	20	chr6	32170030	32170116	-	-
hsa-mir-6722	MI0022557	0	chr9	136746893	136746970	-	-
hsa-mir-6724-1	MI0022559	45	chr21	8205315 	8205406 	+	-
hsa-mir-892c	MI0022560	11	chrX	145992750	145992826	-	High
hsa-mir-6726	MI0022571	9	chr1	1296110 	1296170 	-	-
hsa-mir-6727	MI0022572	4	chr1	1312502 	1312566 	-	-
hsa-mir-6728	MI0022573	13	chr1	8866502 	8866590 	-	-
hsa-mir-6729	MI0022574	8	chr1	12029158	12029222	+	-
hsa-mir-6730	MI0022575	6	chr1	12578957	12579023	-	-
hsa-mir-6731	MI0022576	13	chr1	24919345	24919416	-	-
hsa-mir-6732	MI0022577	4	chr1	37480230	37480289	+	-
hsa-mir-6733	MI0022578	13	chr1	43171652	43171712	-	High
hsa-mir-6734	MI0022579	40	chr1	43364648	43364715	-	High
hsa-mir-6735	MI0022580	22	chr1	43448539	43448611	+	High
hsa-mir-6736	MI0022581	16	chr1	145850587	145850645	-	-
hsa-mir-6737	MI0022582	3	chr1	153962351	153962420	-	-
hsa-mir-6738	MI0022583	10	chr1	155951273	155951336	-	-
hsa-mir-6739	MI0022584	9	chr1	201863373	201863447	+	-
hsa-mir-6740	MI0022585	9	chr1	202003124	202003236	+	-
hsa-mir-6741	MI0022586	32	chr1	225922080	225922142	-	High
hsa-mir-6742	MI0022587	14	chr1	228397048	228397109	-	High
hsa-mir-6743	MI0022588	7	chr11	209336  	209406  	+	-
hsa-mir-6744	MI0022589	2	chr11	1256605  	1256670 	+	-
hsa-mir-6745	MI0022590	7	chr11	47179611	47179737	-	-
hsa-mir-6746	MI0022591	9	chr11	61878216	61878278	-	-
hsa-mir-6747	MI0022592	16	chr11	62567011	62567071	-	-
hsa-mir-6748	MI0022593	6	chr11	62789815	62789885	+	-
hsa-mir-6749	MI0022594	7	chr11	64902387	64902455	-	-
hsa-mir-6750	MI0022595	14	chr11	64898363	64898437	-	-
hsa-mir-6751	MI0022596	9	chr11	65129916	65129978	-	-
hsa-mir-6752	MI0022597	30	chr11	67490245	67490315	+	-
hsa-mir-6753	MI0022598	32	chr11	68044794	68044957	+	-
hsa-mir-6754	MI0022599	8	chr11	71473503	71473568	+	-
hsa-mir-6755	MI0022600	3	chr11	86278333	86278398	+	-
hsa-mir-6756	MI0022601	9	chr11	119312950	119313012	-	-
hsa-mir-6757	MI0022602	57	chr12	53056944	53057012	+	-
hsa-mir-6758	MI0022603	12	chr12	57512688	57512750	+	High
hsa-mir-6759	MI0022604	8	chr12	57748618	57748682	-	-
hsa-mir-6760	MI0022605	4	chr12	111304142	111304209	+	-
hsa-mir-6761	MI0022606	19	chr12	111799834	111799905	+	-
hsa-mir-6762	MI0022607	15	chr12	113291523	113291608	+	-
hsa-mir-6763	MI0022608	220	chr12	132581997	132582061	+	-
hsa-mir-6764	MI0022609	8	chr14	100277357	100277417	+	-
hsa-mir-6765	MI0022610	9	chr14	105150778	105150864	-	-
hsa-mir-6766	MI0022611	7	chr15	89326739	89326810	-	-
hsa-mir-6767	MI0022612	10	chr16	2445392 	2445457 	+	-
hsa-mir-6768	MI0022613	5	chr16	2463967 	2464038 	+	-
hsa-mir-6769a	MI0022614	17	chr16	4671318 	4671390 	+	High
hsa-mir-6770-1	MI0022615	33	chr16	14930820	14930879	+	High
hsa-mir-6771	MI0022616	2	chr16	50292616	50292675	+	-
hsa-mir-6772	MI0022617	6	chr16	57772289	57772352	-	-
hsa-mir-6773	MI0022618	3	chr16	68233426	68233499	-	-
hsa-mir-6774	MI0022619	7	chr16	85918347	85918416	+	-
hsa-mir-6775	MI0022620	38	chr16	87834592	87834660	-	-
hsa-mir-6776	MI0022621	4	chr17	2692861 	2692919	        -	-
hsa-mir-6777	MI0022622	29	chr17	17813480	17813545	-	-
hsa-mir-6778	MI0022623	7	chr17	18340814	18340886	-	-
hsa-mir-6779	MI0022624	11	chr17	38914979	38915042	+	-
hsa-mir-6780a	MI0022625	13	chr17	42708084	42708151	-	-
hsa-mir-6781	MI0022626	7	chr17	42823880	42823943	-	-
hsa-mir-6782	MI0022627	5	chr17	44207771	44207839	-	-
hsa-mir-6783	MI0022628	15	chr17	44934618	44934681	-	-
hsa-mir-6784	MI0022629	2	chr17	45114367	45114433	-	-
hsa-mir-6785	MI0022630	13	chr17	75498548	75498628	+	-
hsa-mir-6786	MI0022631	9	chr17	81693757	81693869	+	-
hsa-mir-6787	MI0022632	12	chr17	82236668	82236728	+	-
